date,app,usage_seconds,usage_minutes,usage_hours,daily_total_seconds,daily_total_minutes,daily_total_hours
2026-04-07,com.apple.InCallService,19,0.32,0.01,976,16.27,0.27
2026-04-07,com.apple.camera,17,0.28,0.0,976,16.27,0.27
2026-04-07,com.apple.mobilephone,2,0.03,0.0,976,16.27,0.27
2026-04-07,com.apple.mobileslideshow,36,0.6,0.01,976,16.27,0.27
2026-04-07,com.facebook.Facebook,663,11.05,0.18,976,16.27,0.27
2026-04-07,com.facebook.Messenger,2,0.03,0.0,976,16.27,0.27
2026-04-07,com.google.Gmail,4,0.07,0.0,976,16.27,0.27
2026-04-07,com.google.chrome.ios,23,0.38,0.01,976,16.27,0.27
2026-04-07,com.hammerandchisel.discord,104,1.73,0.03,976,16.27,0.27
2026-04-07,com.openai.chat,70,1.17,0.02,976,16.27,0.27
2026-04-07,com.toyopagroup.picaboo,36,0.6,0.01,976,16.27,0.27
2026-04-08,com.apple.AppStore,13,0.22,0.0,11940,199.0,3.32
2026-04-08,com.apple.InCallService,499,8.32,0.14,11940,199.0,3.32
2026-04-08,com.apple.MobileSMS,466,7.77,0.13,11940,199.0,3.32
2026-04-08,com.apple.PosterBoard,76,1.27,0.02,11940,199.0,3.32
2026-04-08,com.apple.Preferences,26,0.43,0.01,11940,199.0,3.32
2026-04-08,com.apple.camera,4,0.07,0.0,11940,199.0,3.32
2026-04-08,com.apple.findmy,12,0.2,0.0,11940,199.0,3.32
2026-04-08,com.apple.mobilecal,3,0.05,0.0,11940,199.0,3.32
2026-04-08,com.apple.mobilenotes,8,0.13,0.0,11940,199.0,3.32
2026-04-08,com.apple.mobilephone,23,0.38,0.01,11940,199.0,3.32
2026-04-08,com.apple.mobileslideshow,0,0.0,0.0,11940,199.0,3.32
2026-04-08,com.apple.weather,6,0.1,0.0,11940,199.0,3.32
2026-04-08,com.facebook.Facebook,2891,48.18,0.8,11940,199.0,3.32
2026-04-08,com.facebook.Messenger,259,4.32,0.07,11940,199.0,3.32
2026-04-08,com.google.Gmail,13,0.22,0.0,11940,199.0,3.32
2026-04-08,com.google.Maps,757,12.62,0.21,11940,199.0,3.32
2026-04-08,com.google.chrome.ios,3489,58.15,0.97,11940,199.0,3.32
2026-04-08,com.hammerandchisel.discord,981,16.35,0.27,11940,199.0,3.32
2026-04-08,com.microsoft.Office.Outlook,11,0.18,0.0,11940,199.0,3.32
2026-04-08,com.spotify.client,12,0.2,0.0,11940,199.0,3.32
2026-04-08,com.toyopagroup.picaboo,1915,31.92,0.53,11940,199.0,3.32
2026-04-08,com.woltapp.wolt,476,7.93,0.13,11940,199.0,3.32
2026-04-09,com.Margento.SSSP,79,1.32,0.02,17845,297.42,4.96
2026-04-09,com.apple.DocumentsApp,27,0.45,0.01,17845,297.42,4.96
2026-04-09,com.apple.HeadphoneProxService,1,0.02,0.0,17845,297.42,4.96
2026-04-09,com.apple.InCallService,1086,18.1,0.3,17845,297.42,4.96
2026-04-09,com.apple.MobileSMS,782,13.03,0.22,17845,297.42,4.96
2026-04-09,com.apple.Pages,71,1.18,0.02,17845,297.42,4.96
2026-04-09,com.apple.PassbookUIService,3,0.05,0.0,17845,297.42,4.96
2026-04-09,com.apple.Preferences,15,0.25,0.0,17845,297.42,4.96
2026-04-09,com.apple.Preview,8,0.13,0.0,17845,297.42,4.96
2026-04-09,com.apple.SharingViewService,2,0.03,0.0,17845,297.42,4.96
2026-04-09,com.apple.calculator,30,0.5,0.01,17845,297.42,4.96
2026-04-09,com.apple.mobilecal,8,0.13,0.0,17845,297.42,4.96
2026-04-09,com.apple.mobilenotes,13,0.22,0.0,17845,297.42,4.96
2026-04-09,com.apple.mobilephone,24,0.4,0.01,17845,297.42,4.96
2026-04-09,com.apple.mobileslideshow,59,0.98,0.02,17845,297.42,4.96
2026-04-09,com.apple.mobiletimer,21,0.35,0.01,17845,297.42,4.96
2026-04-09,com.apple.weather,14,0.23,0.0,17845,297.42,4.96
2026-04-09,com.facebook.Facebook,2180,36.33,0.61,17845,297.42,4.96
2026-04-09,com.facebook.Messenger,315,5.25,0.09,17845,297.42,4.96
2026-04-09,com.google.Maps,499,8.32,0.14,17845,297.42,4.96
2026-04-09,com.google.chrome.ios,9934,165.57,2.76,17845,297.42,4.96
2026-04-09,com.hammerandchisel.discord,312,5.2,0.09,17845,297.42,4.96
2026-04-09,com.hisense.juconnect.connectLife,160,2.67,0.04,17845,297.42,4.96
2026-04-09,com.microsoft.Office.Outlook,36,0.6,0.01,17845,297.42,4.96
2026-04-09,com.microsoft.Office.Word,16,0.27,0.0,17845,297.42,4.96
2026-04-09,com.microsoft.azureauthenticator,14,0.23,0.0,17845,297.42,4.96
2026-04-09,com.openai.chat,551,9.18,0.15,17845,297.42,4.96
2026-04-09,com.poligram.mmobilnost,16,0.27,0.0,17845,297.42,4.96
2026-04-09,com.revolut.revolut,12,0.2,0.0,17845,297.42,4.96
2026-04-09,com.setcce.sipass,38,0.63,0.01,17845,297.42,4.96
2026-04-09,com.spotify.client,42,0.7,0.01,17845,297.42,4.96
2026-04-09,com.toyopagroup.picaboo,1451,24.18,0.4,17845,297.42,4.96
2026-04-09,com.woltapp.wolt,26,0.43,0.01,17845,297.42,4.96
2026-04-10,com.apple.InCallService,1337,22.28,0.37,8637,143.95,2.4
2026-04-10,com.apple.MobileSMS,316,5.27,0.09,8637,143.95,2.4
2026-04-10,com.apple.Passbook,3,0.05,0.0,8637,143.95,2.4
2026-04-10,com.apple.Preferences,180,3.0,0.05,8637,143.95,2.4
2026-04-10,com.apple.SharingViewService,8,0.13,0.0,8637,143.95,2.4
2026-04-10,com.apple.camera,7,0.12,0.0,8637,143.95,2.4
2026-04-10,com.apple.mobilephone,39,0.65,0.01,8637,143.95,2.4
2026-04-10,com.apple.mobileslideshow,36,0.6,0.01,8637,143.95,2.4
2026-04-10,com.facebook.Facebook,84,1.4,0.02,8637,143.95,2.4
2026-04-10,com.facebook.Messenger,19,0.32,0.01,8637,143.95,2.4
2026-04-10,com.google.Gmail,6,0.1,0.0,8637,143.95,2.4
2026-04-10,com.google.chrome.ios,4216,70.27,1.17,8637,143.95,2.4
2026-04-10,com.google.ios.youtube,2,0.03,0.0,8637,143.95,2.4
2026-04-10,com.hammerandchisel.discord,1034,17.23,0.29,8637,143.95,2.4
2026-04-10,com.lidl.eci.lidl.plus,74,1.23,0.02,8637,143.95,2.4
2026-04-10,com.mcdonalds.mobileapp,75,1.25,0.02,8637,143.95,2.4
2026-04-10,com.microsoft.azureauthenticator,9,0.15,0.0,8637,143.95,2.4
2026-04-10,com.nike.omega,94,1.57,0.03,8637,143.95,2.4
2026-04-10,com.notino.notino,113,1.88,0.03,8637,143.95,2.4
2026-04-10,com.revolut.revolut,18,0.3,0.01,8637,143.95,2.4
2026-04-10,com.setcce.sipass,22,0.37,0.01,8637,143.95,2.4
2026-04-10,com.toyopagroup.picaboo,879,14.65,0.24,8637,143.95,2.4
2026-04-10,net.easypark.app,66,1.1,0.02,8637,143.95,2.4
2026-04-11,com.apple.InCallService,193,3.22,0.05,5480,91.33,1.52
2026-04-11,com.apple.MobileSMS,9,0.15,0.0,5480,91.33,1.52
2026-04-11,com.apple.PassbookUIService,59,0.98,0.02,5480,91.33,1.52
2026-04-11,com.apple.Preferences,9,0.15,0.0,5480,91.33,1.52
2026-04-11,com.apple.calculator,302,5.03,0.08,5480,91.33,1.52
2026-04-11,com.apple.camera,31,0.52,0.01,5480,91.33,1.52
2026-04-11,com.apple.mobilephone,11,0.18,0.0,5480,91.33,1.52
2026-04-11,com.apple.mobileslideshow,20,0.33,0.01,5480,91.33,1.52
2026-04-11,com.apple.mobiletimer,36,0.6,0.01,5480,91.33,1.52
2026-04-11,com.facebook.Facebook,593,9.88,0.16,5480,91.33,1.52
2026-04-11,com.facebook.Messenger,4,0.07,0.0,5480,91.33,1.52
2026-04-11,com.google.chrome.ios,434,7.23,0.12,5480,91.33,1.52
2026-04-11,com.google.ios.youtube,2629,43.82,0.73,5480,91.33,1.52
2026-04-11,com.hammerandchisel.discord,188,3.13,0.05,5480,91.33,1.52
2026-04-11,com.lidl.eci.lidl.plus,795,13.25,0.22,5480,91.33,1.52
