date,total_seconds,total_minutes,total_hours
2026-04-07,976,16.27,0.27
2026-04-08,11940,199.0,3.32
2026-04-09,17845,297.42,4.96
2026-04-10,8637,143.95,2.4
2026-04-11,5480,91.33,1.52
2026-04-12,5331,88.85,1.48
2026-04-13,7630,127.17,2.12
2026-04-14,8333,138.88,2.31
2026-04-15,5088,84.8,1.41
2026-04-16,5516,91.93,1.53
2026-04-17,10961,182.68,3.04
2026-04-18,1660,27.67,0.46
2026-04-19,3938,65.63,1.09
2026-04-20,9290,154.83,2.58
2026-04-21,7859,130.98,2.18
2026-04-22,8624,143.73,2.4
2026-04-23,16329,272.15,4.54
2026-04-24,14506,241.77,4.03
2026-04-25,4489,74.82,1.25
2026-04-26,7766,129.43,2.16
2026-04-27,7003,116.72,1.95
2026-04-28,2688,44.8,0.75
2026-04-29,3184,53.07,0.88
2026-04-30,5444,90.73,1.51
2026-05-01,1683,28.05,0.47
2026-05-02,4995,83.25,1.39
2026-05-03,3439,57.32,0.96
2026-05-04,13393,223.22,3.72
2026-05-05,16483,274.72,4.58
2026-05-06,1903,31.72,0.53
