start,end,duration_seconds,duration_minutes,app,device_id
2026-04-07T17:02:25.524295+02:00,2026-04-07T17:02:48.857742+02:00,23,0.38,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T17:02:48.857742+02:00,2026-04-07T17:03:21.600326+02:00,32,0.53,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T17:25:32.910468+02:00,2026-04-07T17:26:43.657935+02:00,70,1.17,com.openai.chat,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T17:30:17.923488+02:00,2026-04-07T17:30:33.953188+02:00,16,0.27,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T17:30:46.413087+02:00,2026-04-07T17:30:48.348774+02:00,1,0.02,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T18:55:42.119972+02:00,2026-04-07T18:56:59.247389+02:00,77,1.28,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T18:57:02.645546+02:00,2026-04-07T18:57:44.419343+02:00,41,0.68,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T18:57:46.090542+02:00,2026-04-07T18:58:11.168045+02:00,25,0.42,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T19:48:39.119850+02:00,2026-04-07T19:48:41.731254+02:00,2,0.03,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T20:05:11.209212+02:00,2026-04-07T20:05:11.212494+02:00,0,0.0,com.apple.camera,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T20:05:11.252463+02:00,2026-04-07T20:05:28.332584+02:00,17,0.28,com.apple.camera,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T20:05:30.895902+02:00,2026-04-07T20:05:33.801317+02:00,2,0.03,com.apple.mobilephone,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T20:05:34.153105+02:00,2026-04-07T20:06:05.057017+02:00,30,0.5,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-07T20:06:05.383780+02:00,2026-04-07T20:06:08.842496+02:00,3,0.05,com.google.Gmail,E8F47AE0-422F-4154-8235-821961ECC767
